gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
Fnta	uc009lhi.1	481.00	709.00	285.00	737.00	550.00	473.00
Gm14458	uc009spl.1	0.00	0.00	0.00	0.00	0.00	0.00
Tekt1	uc007jyt.1,uc007jyu.1	0.00	0.00	0.00	0.00	0.00	0.00
Tktl2	uc009lvq.1,uc012gei.1	0.00	0.00	0.00	0.00	0.00	0.00
Reg3a	uc009cjy.1	0.00	0.00	0.00	0.00	0.00	0.00
Zfp114	uc009fox.1,uc009foy.1,uc012ffh.1	0.00	0.00	1.00	3.09	3.05	4.00
Ppp1r27	uc007mth.1	0.00	2.00	9.00	1.00	0.00	1.00
Pmm1	uc007wxt.2,uc007wxu.2,uc011zwm.1	126.00	212.00	79.00	146.99	61.00	81.00
AK076896	uc007ojq.1	0.00	0.00	0.00	0.00	0.00	0.00
2810046L04Rik	uc008peu.1,uc008pev.1	92.00	69.00	43.00	238.55	125.00	153.00
Ric8	uc009kij.1	351.00	423.96	204.00	461.99	323.00	350.00
Cxcl11	uc029vjk.1	18.00	26.00	12.00	26.00	32.00	19.00
3110070M22Rik	uc007rzk.2	13.00	14.00	6.00	20.00	18.00	7.00
BC026208	uc008zvb.1	20.00	18.00	8.00	26.00	16.00	17.00
Tmem248	uc008zuh.1,uc008zui.2	632.00	725.99	326.00	1067.02	659.99	878.32
Nisch	uc007swy.1,uc007swz.1,uc007sxa.1,uc007sxb.1,uc007sxc.1,uc011zif.1	1290.39	1360.96	683.00	3063.02	1728.46	1791.01
AK018523	uc029rmg.1	1.48	0.00	0.00	0.00	0.00	0.00
Olfr917	uc009owx.1	0.00	0.00	0.00	0.00	0.00	0.00
Tmem2	uc008gzd.1,uc008gze.1,uc008gzf.1,uc008gzg.1,uc008gzh.1	111.00	144.00	66.00	237.00	156.00	146.00
H2-Eb2	uc012apx.1	0.00	3.00	0.00	6.00	2.00	5.00
Uhrf1bp1l	uc007gsu.2,uc007gsv.2,uc007gsw.2,uc011xll.1	492.00	444.06	260.00	1214.00	663.00	771.00
Gm7102	uc012bol.1	15.22	30.64	16.37	88.31	53.96	37.17
Zfp362	uc008uvn.1	89.00	99.00	27.00	147.00	75.00	112.00
Pla2g2a	uc008vlk.1	0.00	0.00	0.00	0.00	0.00	0.00
4831440E17Rik	uc008wsy.2	30.00	30.00	11.00	64.00	37.00	24.00
Phf8	uc009upd.1,uc009upe.1,uc009upf.1,uc009uph.2,uc012hqs.1,uc012hqt.1	81.00	86.00	48.00	244.00	124.00	153.00
Nhsl1	uc007emg.1,uc007emh.1,uc007emi.1,uc007emj.2	51.00	51.02	23.00	147.00	86.00	96.00
Pfkfb3	uc008iie.2,uc008iif.2,uc008iig.2,uc008iih.2,uc008iii.1,uc008iij.2,uc008iik.2,uc008iil.2,uc008iim.2,uc008iin.2	131.75	120.56	87.13	218.20	164.74	223.21
Scfd1	uc007nmo.1,uc007nmp.1,uc007nmq.1	318.00	347.00	195.00	680.98	469.23	446.00
Pigyl	uc009ooc.1	349.00	511.00	143.00	312.00	227.00	202.00
DQ718673	uc007teg.1	0.00	0.00	0.00	0.00	0.00	0.00
E130018N17Rik	uc008oap.2	2.00	2.00	2.00	3.00	0.00	3.00
Apbb2	uc008xow.2,uc008xox.2,uc008xoy.2,uc008xoz.2,uc008xpa.2,uc008xpb.2,uc008xpc.2,uc008xpd.2,uc012dwr.1	53.00	60.00	32.00	211.00	122.00	132.00
Alpk3	uc009ibr.1,uc012fnt.1	4.00	1.00	40.00	6.00	1.00	3.00
Fam65c	uc008oal.1,uc008oam.1,uc012cjr.1	16.00	38.00	16.00	35.00	13.00	20.00
Rtp3	uc012hbo.1,uc012hbp.1	586.00	580.99	263.99	1432.46	796.93	619.00
Fh1	uc007dtn.2	5035.86	3660.00	2026.00	3377.00	2549.00	2494.00
Slc22a15	uc008qrl.2,uc008qrm.2,uc008qrn.2	128.00	225.87	74.00	343.97	173.01	198.17
DQ567796	uc009hmv.1	0.00	0.00	0.00	0.00	0.00	0.00
Urb2	uc009nwy.1,uc012gmt.1,uc012gmv.1	87.00	83.02	43.00	176.95	104.00	136.00
Gm10267	uc012bcn.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr199	uc007zox.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1109	uc008knl.1	0.00	0.00	0.00	0.00	0.00	0.00
Rock1	uc008eaq.1,uc008ear.1	336.00	312.78	135.01	841.00	421.00	444.63
Ccdc125	uc007rrj.2,uc011zea.1	60.36	58.09	40.93	149.00	55.25	71.45
Mrps34	uc008ayy.1	756.27	1196.59	469.09	696.94	592.92	505.98
Dhps	uc009mpf.1,uc009mpg.1,uc012ghq.1	190.00	255.00	113.34	185.00	154.00	132.00
Gm1140	uc012hja.1,uc012hjb.1	0.00	0.00	0.00	0.00	0.00	0.00
AK082064	uc012bsf.1	7.55	14.84	7.01	23.03	20.29	18.76
Rag1	uc008lhk.2	0.00	0.00	0.00	0.00	0.00	0.00
Dmtf1	uc008wky.2,uc008wkz.2,uc008wla.2,uc008wlb.2,uc008wlc.2,uc008wld.2,uc008wle.2,uc008wlf.2	121.58	110.46	61.61	319.83	191.85	178.61
DQ694558	uc007wqt.2	0.00	0.00	0.00	0.00	0.00	0.00
Eif1ad	uc008gct.1	289.00	411.91	174.99	351.00	260.00	276.00
4930562F07Rik	uc007ded.1,uc029quk.1	0.00	1.34	1.65	1.39	0.00	0.00
4933417A18Rik	uc007qbt.2,uc007qbu.2	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd40	uc007kyk.1,uc007kyl.1	609.46	752.00	360.00	908.00	566.93	653.06
Gm11202	uc007kkv.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ695250	uc009hvp.2	0.00	0.00	0.00	0.00	0.00	0.00
Ube2m	uc009ffd.2,uc012ezf.2,uc029wdr.1	662.82	1048.57	330.83	634.13	422.38	507.15
BC088983	uc009lsp.1	46.00	102.00	51.00	121.98	65.00	60.00
Gm10905	uc007tru.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm10415	uc029vyq.1	0.00	0.00	0.00	0.00	0.00	0.00
Defb6	uc009lal.1	0.00	0.00	0.00	0.00	0.00	0.00
AK046349	uc009duo.1	0.00	0.00	0.00	1.00	0.00	0.00
Gm16501	uc012hru.1,uc012hrw.1	0.00	0.00	0.00	0.00	0.00	0.00
Klrg2	uc009bkv.1,uc012eke.1	2.00	5.00	0.00	4.00	0.00	1.00
Slc9a9	uc009ray.2	65.00	76.00	27.00	78.55	50.00	65.00
Tln2	uc009qfu.2,uc009qfv.2,uc009qfw.2,uc009qfy.1,uc012gvy.1,uc012gvz.1,uc012gwa.1,uc012gwb.1	105.00	118.02	53.01	308.02	157.05	193.01
Vmn2r57	uc009vek.1	1.00	6.00	0.00	6.00	5.00	1.00
Car15	uc007ymg.1	5.00	2.00	1.00	4.00	2.00	2.00
AK132630	uc007nec.1	0.00	2.08	0.72	1.04	3.98	0.93
DQ557392	uc029xal.1	0.00	0.00	0.00	0.00	0.00	0.00
Vac14	uc009nku.1,uc009nkv.2,uc009nkw.2,uc012gkn.2	270.05	319.01	162.00	428.01	222.00	264.96
Slc35d1	uc008txk.1,uc008txl.1,uc008txm.1,uc008txn.1,uc008txo.1	526.00	593.00	389.00	1869.00	983.00	1342.00
Nedd9	uc007qfd.2,uc007qfe.2	31.00	43.00	23.00	80.00	37.00	63.00
Foxn1	uc007kjc.1,uc007kjd.1	0.00	0.00	0.00	0.00	0.00	0.00
Ehd2	uc009fgt.1	35.00	37.00	26.00	49.00	26.00	25.00
Nbeal2	uc009rul.2,uc012hbk.1	75.00	86.08	48.00	267.00	133.00	111.00
Timp3	uc007gnr.1	156.38	179.46	130.30	263.60	147.00	232.86
Slc35c2	uc008nxd.2,uc008nxe.2,uc008nxf.2,uc008nxg.2,uc008nxh.2	279.00	442.00	169.00	426.00	245.00	324.00
Dhrs1	uc007uan.2	3155.00	4192.00	1692.00	2298.99	1496.00	1921.00
DQ702332	uc029wiq.1	0.00	0.00	0.00	0.00	0.00	0.00
Aldoart2	uc007nos.2	0.00	0.00	0.00	0.00	0.00	0.00
Wdr36	uc008ejm.2,uc008ejn.2,uc008ejo.2,uc008ejp.2,uc012bau.1	286.00	345.00	159.00	482.00	290.00	392.00
Cyp2c70	uc008hkj.2	360.16	1063.00	200.00	2429.00	2266.77	1668.82
Alas2	uc009uoj.1,uc009uok.1	1252.20	1760.00	809.98	1818.99	1024.33	1221.99
Palm3	uc009mlq.1,uc012ggy.1	2.00	0.00	1.00	3.00	0.00	0.00
Nsfl1c	uc008ndw.1	867.00	1050.99	418.99	777.00	516.00	580.00
Gm10857	uc008igh.2,uc012boz.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ557102	uc009eam.2	0.00	0.00	0.00	0.00	0.00	0.00
AK153821	uc009cpu.1	0.00	3.00	0.00	2.00	2.00	1.00
DQ545486	uc007wdr.1	0.00	0.00	0.00	0.00	0.00	0.00
AK141187	uc008swv.1	2.00	0.00	0.00	1.00	2.00	0.00
Zfyve1	uc007odg.1,uc007odh.1,uc007odi.1	561.00	798.15	308.00	1188.50	611.40	786.00
Galnt5	uc012bvo.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ698272	uc008fii.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ698755	uc009nkm.2	0.00	0.00	0.00	0.00	0.00	0.00
AF080584	uc029wpq.1	0.00	0.00	0.00	0.00	0.00	0.00
Gpihbp1	uc007wgw.1	303.00	446.53	181.97	259.00	160.00	147.00
AK015236	uc007sap.1,uc007sbt.1,uc007sbv.1,uc007scc.1,uc029sef.1	0.00	0.00	0.00	0.00	1.00	0.00
Eme1	uc007kzf.1	1.00	4.09	2.02	0.00	0.00	1.01
Dars2	uc007dey.1,uc007dez.1	148.00	200.00	103.00	327.00	175.00	195.00
Prr12	uc009gst.1,uc009gsu.1	116.00	107.00	55.00	403.00	153.00	191.00
Vmn2r44	uc012eyh.1	0.00	0.00	0.00	0.00	0.00	0.00
1700009C05Rik	uc012ens.2	0.00	0.00	0.00	0.00	0.00	0.00
Mir345	uc011yrw.1	0.00	0.00	0.00	0.00	0.00	0.00
Psmc2	uc008wpd.1	1220.48	1582.10	727.00	1387.00	901.97	867.72
Chaf1a	uc008dar.1,uc008das.1	55.08	58.64	26.20	64.02	31.56	32.27
1810033B17Rik	uc009ksi.1	5.00	9.00	1.00	12.00	0.00	1.00
AB341985	uc011yml.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ723953	uc007wev.3	0.00	0.00	0.00	0.00	0.00	0.00
Trmt5	uc007nwf.1,uc007nwg.1	75.00	79.00	38.00	117.99	61.00	59.00
1700109G15Rik	uc007kqq.1	0.00	0.00	0.00	0.00	0.00	0.00
8430436N08Rik	uc029upo.1	0.00	0.00	0.00	0.00	0.00	0.00
Ermn	uc008jsh.1	0.00	1.01	0.00	1.00	0.00	0.00
Alox12e	uc007jun.1	1.00	1.00	0.00	0.00	0.00	1.00
Igj	uc008xzu.2	34.00	81.00	56.00	52.00	43.00	66.00
4921528O07Rik	uc007dhg.2	0.00	0.00	0.00	0.00	0.00	0.00
Psmc6	uc007tgn.1	1582.91	1705.00	868.00	1935.00	1538.06	1255.00
Vrk1	uc007ozb.1,uc007ozc.1,uc007ozd.1,uc007oze.1	65.00	73.00	43.00	89.00	72.00	78.00
Snord11	uc011wls.1	0.00	0.00	0.00	0.00	0.00	0.00
AB345245	uc029tvk.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1153	uc008kow.1	0.00	0.00	0.00	0.00	0.00	0.00
Pop4	uc009gkv.1	243.00	252.00	94.00	219.00	172.00	192.00
Tmem151a	uc008gcc.1	11.00	7.00	2.00	5.00	5.00	2.00
Olfr894	uc009owb.2	0.00	0.00	0.00	0.00	0.00	0.00
Ube2e2	uc007shv.1	389.98	586.00	203.00	464.00	324.00	332.00
Kif26b	uc007dvf.1,uc007dvh.2	3.00	2.00	5.00	12.00	6.00	5.00
Sh2d4b	uc007tcd.1,uc007tce.1,uc007tcf.1	0.00	0.00	0.00	2.00	1.00	0.00
AK006051	uc007kde.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ723622	uc029rve.1	0.00	0.00	0.00	0.00	0.00	0.00
Vmn2r82	uc009vaa.1	0.00	0.00	0.00	0.00	0.00	0.00
Polr3b	uc007gkt.1,uc007gku.1	127.00	127.00	60.00	308.00	168.00	186.00
DQ566411	uc029wyn.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ715757	uc029rxb.1	0.00	0.00	0.00	0.00	0.00	0.00
Dcaf6	uc007djb.2	541.00	451.00	240.74	773.45	405.00	535.00
Smcr8	uc007jgn.1,uc011xvr.1	264.00	273.00	125.00	707.00	395.00	398.00
DQ561426	uc007sni.1	0.00	0.00	0.00	0.00	0.00	0.00
Fhl1	uc009tgm.1,uc009tgn.1,uc009tgo.1,uc012hhw.1	68.69	91.00	147.00	92.00	52.00	66.00
2210409E12Rik	uc011ycj.1,uc011yck.1	0.00	0.00	0.00	0.00	0.00	0.00
AK046786	uc007yep.1	0.98	2.56	1.01	0.00	0.00	0.00
DQ708983	uc029wgw.1	0.00	0.00	0.00	0.00	0.00	0.00
BC017612	uc009ogb.1,uc009ogc.1	201.78	258.00	110.00	167.00	149.25	118.00
Ina	uc008huk.1	0.00	0.00	0.00	0.00	0.00	0.00
Bcl11a	uc007ifs.2,uc007ift.3,uc007ifu.2,uc007ifv.2,uc007ifw.2	7.00	11.00	1.00	4.14	3.00	3.00
Ccdc43	uc007lsg.1,uc007lsh.1	158.00	180.00	78.14	183.00	118.00	128.03
Slc10a7	uc009mib.1,uc009mic.1,uc009mid.1,uc012ggh.1,uc012ggi.1,uc012ggj.1,uc012ggk.1	75.00	100.00	37.00	150.00	107.00	114.00
DQ562327	uc009hka.2	0.00	0.00	0.00	0.00	0.00	0.00
Gnal	uc008flr.1,uc008fls.1,uc008flt.1	108.77	135.56	45.06	87.20	61.91	83.11
DQ706728	uc007onf.2	0.00	0.00	0.00	0.00	0.00	0.00
Fgf1	uc008esn.1,uc008eso.1,uc012bcf.1	1385.76	1281.69	600.17	2239.54	1583.01	1847.84
Josd1	uc007wue.2	776.00	837.69	466.00	1053.99	558.74	725.00
Zbtb43	uc008jhv.1,uc008jhw.1,uc008jhx.1,uc012bue.1	218.00	224.00	111.00	521.00	261.00	313.00
Syt14	uc007edu.1,uc007edv.1,uc011wyy.1	0.00	0.00	1.00	2.00	0.00	0.00
Eif4enif1	uc007hsc.2,uc007hsd.2,uc007hse.2,uc007hsf.2,uc007hsg.1,uc011xqo.1	209.00	185.00	100.00	402.97	236.00	251.00
Mir135b	uc011wrv.1	0.00	0.00	0.00	0.00	0.00	0.00
Ush1c	uc009gyg.2,uc009gyh.2,uc012fkt.1,uc012fku.1	0.00	0.00	0.00	0.00	0.00	0.00
Amacr	uc007vgw.1	3044.14	3893.54	1663.07	2932.10	2207.00	2297.94
Mir367	uc012cxl.1	0.00	0.00	0.00	0.00	0.00	0.00
Tcea1	uc007afi.2,uc011wht.1,uc011whu.1	1320.00	1477.31	742.00	1621.34	1418.98	1083.30
Cabp7	uc007hve.1	0.00	0.00	0.00	0.00	0.00	0.00
Klrb1c	uc009een.2,uc009eeo.2,uc009eep.2,uc009eeq.2	7.00	9.71	5.00	6.00	8.00	6.00
E130102H24Rik	uc008tvl.2	17.00	16.00	13.00	29.00	24.00	24.00
AK006362	uc008sdr.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ708232	uc029sgk.1	0.00	0.00	0.00	0.00	0.00	0.00
Safb	uc008dcj.2,uc008dck.2,uc012avv.1	491.01	474.44	206.20	1022.85	535.81	579.81
Gm9047	uc012ejd.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ721075	uc029vyt.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1355	uc007fyi.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ690510	uc007tfy.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ694598	uc009qmg.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ689221	uc007gpd.1	0.00	0.00	0.00	0.00	0.00	0.00
