gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
AK212155	uc029wnt.1	0.00	0.00	0.00	0.00	0.00	0.00
Sp2	uc007ldf.1,uc007ldg.1	52.00	47.00	36.00	99.00	53.00	66.00
AK051368	uc009coj.1	4.39	1.11	0.00	1.10	0.00	0.00
Ubiad1	uc008vup.1	121.00	125.00	65.00	134.00	95.00	111.00
Src	uc008npa.1,uc008npb.1,uc012cia.1	21.00	35.00	20.00	43.00	22.00	32.00
Racgap1	uc007xpx.2,uc007xpy.2,uc007xpz.2	9.00	20.00	11.00	14.00	10.00	7.00
DQ696825	uc009eaq.1	0.00	0.00	0.00	0.00	0.00	0.00
9530026P05Rik	uc009czg.2,uc009czh.2,uc012epf.1,uc012epg.1,uc012eph.1	3.00	5.00	5.00	7.97	4.00	1.09
Elf1	uc007utb.1,uc007utc.1,uc007utd.1	152.00	145.00	83.00	544.35	316.00	296.00
X05732	uc007tro.3	0.00	0.00	0.00	0.00	0.00	0.00
AK006455	uc007qwp.1	0.00	3.00	0.00	0.00	0.00	0.00
Gm20604	uc011yqq.1	59.28	67.83	59.75	142.91	96.51	70.24
AK076987	uc008rvd.1	8.00	11.00	3.00	10.00	2.00	7.00
Phyh	uc008ifd.2	46759.76	45876.04	20827.98	31281.10	23101.29	23092.97
Olfr503	uc009jcn.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr823	uc007hrd.1	0.00	0.00	0.00	0.00	0.00	0.00
AI837181	uc008gda.2,uc008gdb.2	243.00	355.00	121.00	327.00	184.00	251.00
Sigirr	uc009kjk.1,uc009kjl.1,uc009kjm.1	232.00	362.00	151.00	321.00	171.53	222.00
Bpifa2	uc008nis.1	0.00	0.00	0.00	0.00	0.00	0.00
Dusp15	uc008ngu.2,uc012cgl.1,uc012cgm.1	0.00	0.00	0.00	0.00	0.00	0.00
2310040G24Rik	uc009csa.1,uc029vxg.1	27.00	32.00	27.00	25.00	21.88	16.00
DQ691575	uc007qlf.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ726503	uc029vmv.1	0.00	0.00	0.00	0.00	0.00	0.00
Sms	uc009urz.1	80.00	121.07	61.00	147.66	112.00	67.00
3425401B19Rik	uc007szg.2	0.00	1.01	37.08	0.00	0.00	0.00
Gm595	uc009tcu.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr228	uc008kml.1	0.00	0.00	0.00	0.00	0.00	0.00
FJ541084	uc029xtn.1,uc029xuj.1,uc029xvg.1,uc029xwc.1,uc029xwy.1,uc029xyl.1,uc029xzi.1,uc029yai.1,uc029yby.1,uc029ycu.1,uc029ydt.1	0.00	0.00	0.00	0.00	0.00	0.00
Pfdn2	uc007doc.1	275.00	382.76	173.36	253.93	221.00	199.00
AK050069	uc007yvh.1	247.00	221.00	118.00	188.00	146.00	140.90
Rassf3	uc007hfs.1	1069.00	1072.46	541.10	2012.42	1104.76	1549.48
Cntnap5b	uc007cfy.1,uc007cfz.1	0.00	0.00	0.00	0.00	0.00	0.00
Vmn1r37	uc009cet.1	0.00	0.00	0.00	0.00	0.00	0.00
Tmc5	uc009jke.2,uc009jkf.2,uc009jkg.2	0.00	2.00	0.00	0.00	0.00	1.00
Pias1	uc009qar.1,uc009qas.1	112.97	75.16	59.73	350.01	164.21	166.37
Rbm14	uc008gap.1,uc008gay.1,uc008gaz.1	200.68	190.43	92.41	289.42	200.13	177.41
Slc2a7	uc008vxl.1	0.00	0.00	0.00	0.00	0.00	0.00
Syngr1	uc007wvc.1,uc007wvd.1	7.00	29.00	25.00	13.00	2.00	3.00
AK016790	uc009vgj.1,uc029ybl.1,uc029yfb.1,uc029yfz.1,uc029ygf.1	5.00	3.00	1.01	15.85	3.73	4.00
Nup62	uc009gqw.2	165.02	193.00	68.00	177.02	132.00	128.01
DQ540035	uc008mvh.1,uc008mzz.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ698789	uc009asd.2	0.00	0.00	0.00	0.00	0.00	0.00
Dio2	uc007okf.1	0.00	1.00	0.00	2.00	1.00	1.00
Sat2	uc007jqq.1,uc007jqr.1,uc007jqs.1	127.03	186.00	79.00	193.00	131.02	156.00
Zfp142	uc007bml.1,uc007bmm.1,uc007bmn.1,uc007bmo.1,uc007bmp.1	60.00	46.00	29.00	146.00	95.00	80.00
Chmp3	uc009cgw.1,uc009cgx.1	718.00	938.00	423.00	951.00	648.00	721.00
Hdac1	uc008uxg.1	282.00	350.00	150.00	403.00	263.00	271.00
Ssbp2	uc007rjt.2,uc007rju.2,uc007rjv.2,uc007rjw.2	10.07	25.45	14.00	35.71	27.00	31.00
DQ714826	uc007tfl.1	0.00	0.00	0.00	0.00	0.00	0.00
2610528E23Rik	uc007zng.2,uc007zni.2,uc007znk.2	60.00	117.00	46.00	63.00	53.00	46.00
DQ551521	uc008bml.1	0.00	0.00	0.00	0.00	0.00	0.00
AK028549	uc011wpi.1	2.00	1.29	0.00	0.00	0.00	1.40
Zbtb2	uc007ehf.2,uc007ehg.2	71.00	64.00	21.00	125.99	57.00	70.00
Ankrd45	uc007dfj.2	0.00	0.00	0.00	0.00	0.00	0.00
Psma5	uc008qyq.1	1760.00	2195.57	984.01	1625.00	1441.00	969.00
Ndufaf5	uc008mpo.2,uc008mpp.2	90.00	95.86	65.97	108.00	115.00	63.00
Disc1	uc009nyb.1,uc009nyc.1,uc009nyd.1,uc012gnb.1	0.00	3.00	0.00	1.03	2.00	0.00
DQ711071	uc029tnw.1	0.00	0.00	0.00	0.00	0.00	0.00
Hhatl	uc009sdw.2,uc009sdx.2	0.00	1.00	5.00	0.00	0.00	0.00
Ube2k	uc008xnu.1,uc008xnv.1,uc012dwq.1	660.00	897.48	356.55	795.09	514.87	598.00
Siva1	uc007pev.2,uc007pew.2	116.00	162.00	77.00	109.00	87.00	67.00
AB348151	uc029wwm.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ540071	uc029wiz.1	0.00	0.00	0.00	0.00	0.00	0.00
Pla2g4a	uc007cxt.1	33.00	26.00	16.00	45.00	32.00	27.00
AK019541	uc007jjw.1	0.00	0.00	0.00	0.00	0.00	0.00
Pkd2l1	uc008hpm.2	0.00	0.00	0.00	0.00	0.00	0.00
Foxa3	uc009fkd.1,uc009fke.1	675.16	793.00	281.00	894.03	594.96	739.00
Crygd	uc007bhg.2	0.00	0.00	0.00	0.00	0.00	0.00
Prrt2	uc009jty.1,uc009jtz.1	9.00	10.00	3.00	10.00	3.00	5.00
Plscr2	uc009rao.2	537.97	694.35	366.00	780.00	521.88	448.00
Dst	uc007aof.1,uc007aog.1,uc007aoh.1,uc007aoi.1,uc007aoj.1,uc007aok.1,uc007aol.1,uc007aom.1,uc007aon.1,uc007aoo.1,uc007aop.1	575.52	416.59	310.75	1618.68	859.65	966.55
Aph1a	uc008qlp.1,uc008qlq.1,uc008qlr.1	1086.80	1496.01	536.44	1840.97	1135.98	1646.02
Dagla	uc008gpm.1,uc008gpn.1	12.00	11.00	14.00	15.00	16.00	18.00
DQ713375	uc009qka.2	0.00	0.00	0.00	0.00	0.00	0.00
Wsb1	uc007kkh.1,uc007kki.1,uc007kkj.1	399.86	413.00	197.00	551.00	250.00	349.00
Sat1	uc009urq.1,uc009urr.1	1359.00	1703.98	787.00	1449.99	1314.00	887.00
Gtdc1	uc008joz.1,uc008jpa.1,uc008jpb.1	102.00	146.00	74.00	90.37	69.99	93.05
Nckipsd	uc009rqz.1,uc012hau.1	61.00	79.00	37.00	104.00	55.00	86.00
Phldb2	uc007zjb.3,uc007zjc.1,uc012agi.2,uc012agj.2	420.00	339.00	185.00	1104.03	592.00	735.99
Lphn1	uc009mlg.2,uc009mlh.2,uc009mli.2	51.00	54.30	34.00	120.75	57.41	86.00
AK076961	uc009lli.1	0.00	0.00	0.00	0.00	0.00	0.00
Lrpprc	uc008dtc.1	1015.61	1155.04	547.25	2433.28	1346.00	1639.65
Olfr1321	uc009tdf.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm10409	uc007sba.2,uc007sbe.2	0.00	0.00	1.29	0.00	0.00	0.00
1700007P06Rik	uc007dzu.1	1.00	1.00	0.00	2.00	0.00	0.00
A330076C08Rik	uc007qgo.1,uc007qgp.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ705749	uc029vsj.1	0.00	0.00	0.00	0.00	0.00	0.00
Bloc1s5	uc007qdu.1,uc007qdv.1	449.00	595.00	257.00	601.00	441.00	365.00
Znhit2	uc008ggv.1	288.00	505.00	160.00	289.00	228.00	265.00
AK087806	uc007zyv.1	0.00	0.00	0.00	0.00	0.00	0.00
Aldh1l1	uc009cxl.1,uc009cxm.1	6843.31	7318.31	3026.03	16501.46	10474.69	10914.87
Pkp1	uc007cub.1,uc011wss.1	23.00	29.00	13.00	9.00	6.00	3.00
AK197085	uc009tjh.1	26.00	44.00	23.00	35.00	18.00	32.00
Tmem208	uc009ncs.2	734.00	1195.54	380.95	783.98	711.90	405.00
Kdm4c	uc008tji.2,uc008tjj.2,uc012dgi.1,uc012dgj.1	76.00	93.00	36.00	154.00	101.00	108.48
Notum	uc007mty.2,uc007mtz.2	645.04	865.80	361.00	738.99	434.00	518.98
Nol11	uc007mah.2,uc007mai.2,uc007maj.2	133.00	145.03	79.00	292.00	178.00	159.05
Msh5	uc008cfc.2,uc008cfd.2,uc008cfe.2,uc012aqv.1,uc012aqw.1,uc012aqx.1	9.00	12.00	3.00	13.00	9.00	5.00
Pwwp2a	uc007imu.2,uc007imv.2,uc007imw.2,uc011xti.1	150.30	126.02	78.00	184.43	103.00	125.38
Adam2	uc007uju.1	3.00	0.00	0.00	0.00	1.00	2.00
Helz	uc007mau.1,uc007mav.1,uc007maw.1,uc007max.1	50.00	54.00	22.00	169.00	87.00	108.00
Mir216b	uc011xsl.1	0.00	0.00	0.00	0.00	0.00	0.00
Fam13a	uc009cdi.1	193.00	239.00	85.00	470.80	299.00	330.00
Nkx2-4	uc008mss.1	0.00	0.00	0.00	0.00	0.00	0.00
Nid2	uc007sit.1,uc007siu.1,uc011zgj.1,uc011zgk.1	18.01	16.03	20.53	64.10	24.41	59.02
Gigyf1	uc009acp.1,uc009acq.1,uc009acr.1,uc012efa.1	441.69	429.00	160.00	739.00	315.00	437.00
DQ561464	uc029wim.1	0.00	0.00	0.00	0.00	0.00	0.00
Zfp560	uc009oij.1	73.00	40.00	29.00	90.00	62.00	38.98
LOC434825	uc029xlx.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ706580	uc009qkb.1	0.00	0.00	0.00	0.00	0.00	0.00
Dpysl3	uc008eug.2,uc008euh.2,uc008eui.2	3.00	2.00	0.00	7.00	5.00	5.00
AK007274	uc009rsq.1	0.00	0.00	0.00	0.00	0.00	0.00
Dytn	uc007bgi.1	0.00	0.00	0.00	0.00	0.00	0.00
Gdf7	uc007mzl.1	0.00	0.00	0.00	1.00	0.00	0.00
AK054493	uc008dni.1	0.00	1.00	0.00	1.00	1.00	0.00
Vopp1	uc009cco.1,uc009ccp.1	44.00	54.00	25.00	63.99	29.00	59.00
Lrrc10b	uc012bio.2	0.00	0.00	0.00	2.00	0.00	0.00
Rpl7a	uc008iwf.1	6058.99	8403.47	3140.00	4930.97	4613.00	3276.69
AK131739	uc007wrt.1	0.00	0.00	0.00	0.00	0.00	0.00
Mns1	uc009qpx.2	2.00	3.00	0.00	1.10	5.00	2.00
Arl8b	uc009ddo.1	776.00	908.36	421.33	1169.17	855.27	852.00
DQ554606	uc029wkm.1	0.00	0.00	0.00	0.00	0.00	0.00
Tdh	uc007uhs.1	0.00	0.00	0.00	0.00	0.00	0.00
AK079798	uc008etf.1	0.00	0.00	0.00	0.00	0.00	0.00
Zfp322a	uc007ptn.2,uc011yxd.1	132.00	161.00	61.00	249.00	203.86	112.00
Samd14	uc007kzt.1	19.00	28.00	3.00	27.00	10.00	9.00
4930590L20Rik	uc029qtp.1	0.00	0.00	0.00	0.00	0.00	0.00
Rcor3	uc007edh.1,uc007edi.1,uc007edj.1,uc007edk.1,uc007edl.1	17.00	23.00	11.00	74.00	43.00	40.00
Cd80	uc007zez.1,uc007zfa.1,uc012afo.1	13.22	6.00	2.00	12.00	8.01	3.00
Gm3317	uc007sce.2,uc007scw.2,uc011zfg.2,uc011zfj.2	0.00	1.43	0.00	0.00	0.00	0.00
Olfr606	uc009itt.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ720732	uc009hur.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm16119	uc008omu.1,uc012cmr.1	1.00	2.00	4.00	17.00	13.00	1.00
Tomm40l	uc007dni.1,uc007dnj.1	1150.04	1207.30	537.51	1510.14	1009.43	1010.46
3230401D17Rik	uc008nsq.2,uc008nsr.1	354.00	352.00	180.00	427.97	286.00	241.00
DQ566417	uc007oqn.2	0.00	0.00	0.00	0.00	0.00	0.00
Mettl7a3	uc007xqx.1	0.00	0.00	0.00	0.00	0.00	0.00
Plk4	uc008pbm.1,uc008pbn.1,uc008pbo.1,uc012cpb.1,uc012cpc.1	17.00	13.00	22.00	29.00	16.00	15.00
AK198990	uc029tmx.1	0.00	0.00	0.00	0.00	0.00	0.00
Nlrp1c	uc007jxu.1	0.00	0.00	0.00	5.00	3.00	0.00
Akr1c18	uc007pjj.1,uc007pjk.1	6.00	7.92	6.00	0.00	0.00	0.00
LOC100505096	uc029wrq.1	0.00	0.00	0.00	0.00	0.00	0.00
Tgfbr2	uc009rys.2,uc009ryt.2	218.00	237.00	156.00	439.00	297.00	344.04
Arid5b	uc007fmf.1,uc007fmg.1,uc007fmh.1,uc007fmi.1,uc007fmj.1,uc011xfr.1,uc029qyp.1	340.00	309.76	196.00	1090.83	658.90	831.45
DQ725578	uc007tds.2	0.00	0.00	0.00	0.00	0.00	0.00
Zfp462	uc008sxi.1	3.00	5.00	5.00	22.00	11.00	5.00
Pcdh12	uc008esa.1,uc008esb.1,uc008esc.1	53.00	54.00	28.00	89.00	51.00	37.00
DQ550843	uc009aqy.1	0.00	0.00	0.00	0.00	0.00	0.00
Rad18	uc009dec.2,uc009ded.2,uc009dee.1,uc009def.1,uc009deg.2,uc012epz.1	11.00	20.00	15.00	32.00	16.00	13.00
Zeb2	uc008jpc.1,uc008jpd.1,uc008jpe.1,uc008jpf.1,uc008jpg.1,uc008jph.1,uc008jpi.1,uc008jpj.1	127.00	132.04	58.52	322.97	192.00	169.00
Mif4gd	uc007mib.1,uc007mic.3,uc007mid.3,uc007mie.3,uc007mif.1,uc029rpt.1,uc029rpu.1	741.52	1069.04	398.00	1103.23	779.79	767.85
Vmn2r77	uc012foq.1	0.00	0.00	0.00	0.00	0.00	0.00
9130221F21Rik	uc029vwc.1	0.69	7.84	2.00	5.00	3.00	5.05
Mir138-1	uc012hcx.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ712110	uc029sga.1	0.00	0.00	0.00	0.00	0.00	0.00
Mzf1	uc009ffe.2,uc009fff.2,uc009ffg.2,uc012ezg.1,uc012ezh.1	11.75	6.24	6.08	17.25	5.00	8.20
Rac3	uc007mug.1	10.00	17.00	4.00	5.00	14.00	7.00
Olfr1301	uc008lny.1	0.00	0.00	0.00	0.00	0.00	0.00
AK163166	uc007awg.1	5.06	5.15	0.00	10.40	9.49	3.06
Gm12530	uc029uul.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm14850	uc012gax.1,uc029wrr.1	0.00	0.00	0.00	0.00	0.00	0.00
Ltb4r2	uc007uaq.1	14.00	15.00	3.00	12.00	7.00	4.00
AK040272	uc009lib.1	0.00	0.00	0.00	0.00	0.00	0.00
Mtag2	uc012fkj.1,uc012fkk.1	0.00	0.00	0.00	0.00	0.00	0.00
4933407I05Rik	uc009pln.1	0.00	0.00	0.00	0.00	0.00	0.00
Mir698	uc012dkw.1	0.00	0.00	0.00	0.00	0.00	0.00
Glod4	uc007kfc.2,uc007kfl.2	560.31	808.20	343.93	877.75	542.51	674.52
Man1b1	uc008iro.2,uc008irp.2	412.00	598.00	266.00	794.23	435.00	524.00
Prr9	uc008qdm.1	0.00	0.00	0.00	0.00	0.00	0.00
Gyg	uc008oso.1	89.00	107.00	80.00	143.81	93.00	82.00
Parg	uc007syo.2,uc007syp.1,uc007syq.1,uc007syr.1	115.00	134.00	57.72	288.00	177.00	220.98
Fbln7	uc008mgy.1	15.00	11.00	7.00	19.00	7.00	8.00
AK007836	uc008mmm.1	2.00	1.00	1.00	1.00	2.00	1.00
DQ718362	uc029tef.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ695905	uc007frp.2	0.00	0.00	0.00	0.00	0.00	0.00
Kank2	uc009omm.2,uc012gpj.1	389.23	341.92	198.06	1094.43	580.11	681.18
Hist1h2bl	uc007pra.1	4.12	0.00	0.00	0.00	0.00	0.00
AK038554	uc009keo.1	0.00	0.00	0.00	0.00	0.00	0.00
Chst5	uc009nmz.1	0.00	0.00	0.00	0.00	0.00	0.00
AK047978	uc007srl.1	5.41	17.00	1.05	5.23	5.03	5.18
Clcn1	uc009bqs.1,uc009bqt.1,uc012ekw.1	0.00	0.00	3.00	0.00	0.00	1.00
4930502A04Rik	uc029xek.1	0.00	0.00	0.00	0.00	0.00	0.00
Fam114a1	uc012dwm.1,uc012dwn.1	361.00	279.00	167.00	482.00	341.00	378.00
Cdkn1a	uc008bsg.2,uc008bsh.1,uc012aom.1	128.00	510.00	89.00	299.00	179.00	272.00
Acbd5	uc008inx.1,uc008iny.1,uc008inz.1,uc008ioa.1	2941.31	2879.33	1517.93	5973.49	3477.72	3978.79
Pabpc6	uc008ajy.2	0.00	0.00	0.00	1.00	0.00	0.00
Olfr691	uc009ixw.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ711633	uc008fhv.1	0.00	0.00	0.00	0.00	0.00	0.00
Fis1	uc009abf.2,uc012eeu.1	1165.00	1696.02	598.00	894.00	721.07	686.00
Bcl2a1b	uc009qzj.2	61.22	72.69	66.51	65.88	65.01	33.81
AK191080	uc009irn.1	0.00	0.00	0.00	0.00	0.00	0.00
Mylk	uc007zbc.1,uc007zbd.1,uc007zbe.1,uc007zbf.1,uc007zbh.1	657.25	563.02	326.06	2155.04	1227.41	1174.93
Dynll1	uc008zdp.2	367.81	376.12	186.00	212.27	285.92	96.02
4930468A15Rik	uc012hlf.1	0.00	0.00	0.00	0.00	0.00	0.00
Blm	uc009iaw.2,uc009iax.2,uc009iay.2	15.00	15.00	8.00	42.00	26.00	19.00
AK148766	uc007ndf.1	15.00	19.02	12.00	31.69	20.00	18.00
Sept2	uc007cea.2,uc011wpo.1,uc011wpp.1,uc011wpq.1	942.00	967.00	541.00	1638.00	1254.00	1070.00
Thsd7a	uc009ayj.2	4.00	5.00	1.00	11.00	6.00	10.00
Gypa	uc009miz.1	2.00	0.00	0.00	7.00	2.00	2.00
Dcun1d1	uc008oyw.2,uc008oyx.2,uc029ulh.1	541.01	534.00	328.00	1064.00	701.99	748.81
AK049102	uc008pol.1	0.00	0.00	0.00	0.00	0.00	0.00
5730528L13Rik	uc008svg.2,uc008svh.2,uc008svi.2,uc008svj.2	1.00	9.00	1.00	4.00	4.00	2.00
DQ546822	uc008ldk.2	0.00	0.00	0.00	0.00	0.00	0.00
Celf3	uc008qgl.1,uc008qgm.1,uc008qgn.1,uc008qgo.1,uc008qgp.1,uc008qgq.1,uc012cto.1	0.00	3.00	1.00	1.00	1.00	0.00
Hist1h2bf	uc007puf.1	0.00	0.00	0.00	0.00	0.00	0.00
AK089049	uc008ewr.1	0.00	0.00	0.00	0.00	0.00	0.00
Zmiz1	uc007srm.2,uc007srn.2,uc007sro.2,uc007srq.2	269.57	252.00	130.95	1010.77	459.97	496.93
DQ721875	uc009qhw.2	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r118	uc009bbn.1	0.00	0.00	0.00	0.00	0.00	0.00
Egln1	uc012gna.1	383.94	494.32	254.00	762.67	437.00	631.00
Lamtor1	uc009ipw.2	714.00	1166.00	448.96	751.00	574.00	537.00
Lman2l	uc007aqc.1,uc007aqd.1,uc007aqe.1,uc007aqf.1	156.09	218.62	87.02	224.35	147.84	168.24
DQ689603	uc008zak.1,uc008zax.1	0.00	0.00	0.00	0.00	0.00	0.00
Pcdh8	uc007uti.3,uc007utj.3,uc029smd.1	0.00	0.00	0.00	0.00	0.00	0.00
Trak1	uc009sda.1,uc009sdb.1,uc009sdc.1,uc009sdd.1,uc009sde.1,uc009sdf.1	558.04	495.59	300.00	1223.00	650.00	716.00
Trbv31	uc009bpz.1	0.00	0.00	0.00	0.00	0.00	0.00
Hibadh	uc009byw.1	3858.02	4670.81	2152.00	5290.27	3628.20	4075.96
Gm11529	uc011ydh.1	0.00	0.00	0.00	0.00	0.00	0.00
Psmb9	uc008cbs.1	463.92	553.00	286.00	400.00	407.00	286.00
AK085625	uc008hjl.1	0.00	0.00	0.00	0.00	0.00	0.00
Fam175a	uc008yid.1,uc008yie.1,uc008yif.1	98.00	88.00	49.00	81.00	88.00	61.00
Zfp575	uc009fqa.1	2.93	1.07	1.05	0.00	3.08	0.23
AK206687	uc007xaj.1	4.68	17.43	6.71	0.00	0.00	0.00
Mndal	uc007dry.2,uc007drz.2	194.58	174.09	101.03	231.50	149.30	96.18
AK080351	uc008nrm.1	0.00	0.00	0.00	0.00	0.00	0.00
Efhd1	uc007bwo.1	0.00	7.00	5.00	12.00	0.00	3.00
Inhbc	uc007hjj.2	1098.00	1404.00	629.00	1204.00	772.00	912.00
4930573O16Rik	uc008jqx.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ712273	uc007oog.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ713814	uc007vwa.1	0.00	0.00	0.00	0.00	0.00	0.00
Ccdc155	uc009gub.1	0.00	0.00	0.00	2.00	0.00	0.00
Dbx1	uc009hbn.1	0.00	0.00	0.00	0.00	0.00	0.00
AK015404	uc009row.1	0.00	0.00	0.00	0.00	0.00	1.00
Vmn1r210	uc007pta.1	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd37	uc009lpr.1	7.00	8.00	7.00	7.00	8.00	5.00
Mia3	uc008icw.1,uc008icx.1,uc008icy.1,uc012bon.1	1695.99	1452.40	742.99	3962.93	2054.14	2651.01
Scarf1	uc007kea.1,uc011xzn.1,uc011xzo.1	141.00	169.93	76.00	200.00	102.00	121.00
AB347683	uc029wmw.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr978	uc009oyw.1	0.00	0.00	0.00	0.00	0.00	0.00
Acly	uc007llk.2,uc007lll.2,uc007llm.2	557.00	540.00	305.00	1835.01	1080.00	1210.86
Gm766	uc012evk.1,uc012evl.1	0.00	0.00	0.00	0.00	0.00	0.00
EG545728	uc008wlq.1	0.00	0.00	0.00	0.00	0.00	0.00
Rnf19a	uc007vmq.1,uc007vmr.1,uc011zse.1	366.00	284.00	151.00	692.99	445.99	471.00
DQ557314	uc007gnw.2	0.00	0.00	0.00	0.00	0.00	0.00
Fv1	uc008vtf.1	8.00	6.00	4.00	20.00	10.00	12.00
Ube2l3	uc007ykl.1,uc007ykm.1	1434.56	1671.00	747.79	1989.13	1334.00	1237.00
Trib1	uc007vxw.1,uc007vxx.1	681.46	720.02	296.00	1171.99	714.00	761.00
Hsh2d	uc009mfl.1	1.00	0.00	2.00	1.00	0.00	0.00
Taar7f	uc007eqn.1	0.00	0.00	0.00	0.00	0.00	0.00
Rgs3	uc008tfd.1,uc008tfe.1,uc008tfg.1,uc008tfh.2,uc008tfi.2,uc008tfj.1,uc008tfk.2,uc008tfl.2,uc012dfu.1,uc012dfv.1	183.00	181.00	75.00	113.00	74.00	75.00
Kcnc3	uc009gqg.1,uc009gqh.1	94.00	72.00	37.00	185.00	103.00	114.00
0910001L09Rik	uc009afd.2	609.00	1031.00	422.00	527.00	358.00	429.00
AB345229	uc029tvo.1	0.00	0.00	0.00	0.00	0.00	0.00
Nmnat3	uc009rdg.1,uc009rdh.1,uc009rdi.1,uc012gys.1	118.00	160.00	90.00	134.00	91.00	104.00
Nphp4	uc008wap.1,uc012dqd.1	0.00	0.00	0.00	1.00	0.00	0.00
Wnk2	uc007qir.2,uc007qis.2,uc007qiu.1,uc007qiv.1,uc009val.1	1.00	2.00	8.00	9.00	4.00	4.00
Tkt	uc007svc.1	777.00	1199.00	563.00	1678.83	816.00	1043.00
Gm11762	uc029rqb.1	0.00	0.00	0.00	0.00	0.00	0.00
Suds3	uc008zff.2,uc008zfg.2	2013.00	2623.00	977.00	1816.22	1069.00	1387.62
C2cd4d	uc012ctl.1	20.00	35.00	7.00	18.00	17.00	18.00
Mir3099	uc012exn.1	0.00	0.00	0.00	0.00	0.00	0.00
Hopx	uc008xvv.2,uc008xvw.2,uc012dxq.1	1323.92	2109.32	684.72	993.96	1181.00	661.00
Zbp1	uc008odo.3,uc008odp.2	237.04	240.00	116.00	246.00	265.00	191.00
Zfp113	uc009aeq.2	68.13	79.16	40.28	172.39	104.05	86.22
AK020351	uc007ysi.1	0.00	0.00	0.00	0.00	0.00	0.00
5730412P04Rik	uc029xmz.1,uc029xna.1	0.00	0.00	0.00	0.00	0.00	0.00
Gsdma2	uc007lgt.1,uc007lgu.1,uc011yee.1,uc011yef.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1381	uc007iqs.1	0.00	0.00	0.00	0.00	0.00	0.00
Bbs2	uc009mvs.1	30.00	39.00	18.00	49.00	27.00	20.00
Srsf3	uc008bsd.2,uc008bse.2	773.00	941.75	468.00	1054.00	875.00	814.00
AK021199	uc008ohf.1	177.69	140.87	47.06	137.65	86.42	112.11
AK052773	uc007lue.1	1.26	3.89	0.00	0.00	0.00	0.00
DQ543686	uc008nce.1,uc029ugf.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ542153	uc009ece.2	0.00	0.00	0.00	0.00	0.00	0.00
Apobec4	uc007czi.1	2.00	0.00	0.00	2.00	0.00	0.00
H2-DMb2	uc008cbn.1,uc008cbo.1,uc008cbp.1	13.09	9.72	4.33	5.77	1.30	8.38
AK030979	uc007tjl.1	12.14	15.00	13.19	31.22	11.22	7.09
Slc5a3	uc007zyt.2	43.00	41.00	13.01	88.00	61.00	40.00
Hoxa3	uc009bya.2	5.00	9.00	6.00	17.00	1.00	13.00
Tmem200a	uc007erw.2,uc007erx.2	0.00	0.00	0.00	1.00	0.00	0.00
Scn10a	uc009sbf.2,uc009sbg.3,uc009sbh.3,uc009sbj.1	0.00	0.00	2.00	1.34	1.00	0.00
Tceb1	uc007ajv.1,uc007ajw.1	521.00	658.01	269.00	517.00	480.03	321.00
AK153014	uc008wus.1	5.00	3.00	1.00	4.00	3.00	3.00
DQ566114	uc007aoz.2,uc007glj.1,uc007gpe.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ559865	uc029tfw.1	0.00	0.00	0.00	0.00	0.00	0.00
Vhl	uc009dha.1	166.00	277.00	101.00	230.00	189.00	159.00
Zscan4e	uc012eyw.1	0.00	0.00	0.00	0.00	0.00	0.00
4930520P13Rik	uc029scb.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ540901	uc029wgq.1	0.00	0.00	0.00	0.00	0.00	0.00
DQ715007	uc007sph.1	0.00	0.00	0.00	0.00	0.00	0.00
Tap1	uc008cbt.2,uc008cbu.2,uc008cbv.2,uc012apt.1,uc012apu.1	510.00	589.04	278.00	863.95	542.00	553.00
DQ693587	uc008bny.2	0.00	0.00	0.00	0.00	0.00	0.00
Aanat	uc007mlo.2,uc007mlp.2,uc007mlq.1,uc007mlr.2	0.00	0.00	0.00	0.00	0.00	0.00
4930449E18Rik	uc008iaa.1	0.00	1.00	0.00	0.00	0.00	0.00
DQ540102	uc029uay.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr1055	uc008kmd.1	0.00	0.00	0.00	0.00	0.00	0.00
